time,acc_x
2.226,1.874146617782548e-08
2.227,1.873351487259503e-08
2.228,1.871460428734611e-08
2.229,1.868435028087219e-08
2.23,1.864252703007919e-08
2.231,1.858937197819124e-08
2.232,1.852393756358456e-08
2.233,1.844667516936902e-08
2.234,1.835684600333352e-08
2.235,1.825475248049557e-08
2.236,1.813970733488712e-08
2.237,1.801165592208311e-08
2.238,1.787033423872608e-08
2.239,1.771558261057872e-08
2.24,1.754709458593046e-08
2.241,1.736470773756081e-08
2.242,1.716812253271159e-08
2.243,1.695723432939907e-08
2.244,1.673158810470074e-08
2.245,1.649088129169319e-08
2.246,1.623512743352137e-08
2.247,1.596402515390309e-08
2.248,1.567759519159176e-08
2.249,1.537507436675834e-08
2.25,1.505622318841355e-08
2.251,1.472106628462394e-08
2.252,1.436946640954778e-08
2.253,1.400093798416963e-08
2.254,1.36151920777797e-08
2.255,1.321215766580801e-08
2.256,1.279134653648027e-08
2.257,1.235259079479313e-08
2.258,1.189571232954737e-08
2.259,1.142043889398987e-08
2.26,1.092655237773972e-08
2.261,1.041342482167417e-08
2.262,9.881197855423104e-09
2.263,9.32940155226825e-09
2.264,8.758086805649608e-09
2.265,8.166521558721033e-09
2.266,7.55465629227114e-09
2.267,6.922081023755969e-09
2.268,6.642403710953438e-09
2.269,6.63825558964187e-09
2.27,6.63788810057922e-09
2.271,6.641902688014311e-09
2.272,6.65037649718278e-09
2.273,6.66290820392051e-09
2.274,6.680126472568305e-09
2.275,6.702493102147102e-09
2.276,6.729477972263845e-09
2.277,6.761528027929035e-09
2.278,6.798768153428803e-09
2.279,6.841733403706599e-09
2.28,6.890057725446699e-09
2.281,6.944002182886016e-09
2.282,7.0039660705273e-09
2.283,7.069924894106119e-09
2.284,7.142055796525339e-09
2.285,7.220473522816143e-09
2.286,7.305490096568498e-09
2.287,7.397313271089429e-09
2.288,7.495869540955947e-09
2.289,7.602018688826238e-09
2.29,7.714636157553559e-09
2.291,7.835292111274036e-09
2.292,7.963307407191012e-09
2.293,8.09872998152021e-09
2.294,8.242631352608644e-09
2.295,8.394519557696934e-09
2.296,8.554565752824406e-09
2.297,8.723088746731309e-09
2.298,8.900348751056579e-09
2.299,9.086646432338413e-09
2.3,9.281756654597032e-09
2.301,9.486220788630777e-09
2.302,9.700058489198363e-09
2.303,9.923634127049244e-09
2.304,1.015689753659116e-08
2.305,1.03999891568128e-08
2.306,1.065372250314509e-08
2.307,1.091728515772962e-08
2.308,1.119178739059271e-08
2.309,1.147702161391099e-08
2.31,1.177340299880526e-08
2.311,1.208065440923132e-08
2.312,1.23993788155725e-08
2.313,1.273006428222316e-08
2.314,1.307230870031027e-08
2.315,1.342637238811926e-08
2.316,1.379271963457593e-08
2.317,1.417149007133038e-08
2.318,1.456312522341956e-08
2.319,1.496717871724891e-08
2.32,1.538460047507095e-08
2.321,1.581528058683426e-08
2.322,1.625931609298181e-08
2.323,1.671721770609848e-08
2.324,1.718884818486846e-08
2.325,1.767485123123041e-08
2.326,1.817502958925521e-08
2.327,1.868974166545846e-08
2.328,1.92192439295459e-08
2.329,1.976387748485125e-08
2.33,2.032366832461777e-08
2.331,2.08992088785675e-08
2.332,2.149023701204661e-08
2.333,2.209701961972377e-08
2.334,2.272031683368502e-08
2.335,2.335980287842841e-08
2.336,2.401607068720285e-08
2.337,2.468903477378237e-08
2.338,2.537926503539687e-08
2.339,2.608681565367794e-08
2.34,2.681177292671611e-08
2.341,2.755448342760391e-08
2.342,2.831522711580769e-08
2.343,2.909463615262691e-08
2.344,2.989230642215684e-08
2.345,3.070875007712404e-08
2.346,3.154415653599418e-08
2.347,3.239907735860586e-08
2.348,3.327322068870661e-08
2.349,3.416747931421896e-08
2.35,3.508154610084395e-08
2.351,3.601598585227937e-08
2.352,3.697062374099166e-08
2.353,3.794642414636336e-08
2.354,3.894298995093301e-08
2.355,3.996090123644482e-08
2.356,4.100047208330575e-08
2.357,4.206179681065713e-08
2.358,4.314516904586048e-08
2.359,4.425113520091102e-08
2.36,4.537914146396393e-08
2.361,4.653033431250871e-08
2.362,4.770461515478829e-08
2.363,4.861521780297804e-08
2.364,4.883632318458847e-08
2.365,4.904342638222766e-08
2.366,4.923606040377195e-08
2.367,4.941337748809953e-08
2.368,4.957546332765348e-08
2.369,4.972184831112902e-08
2.37,4.98517560646233e-08
2.371,4.996531440701699e-08
2.372,5.006165367494932e-08
2.373,5.014072612031793e-08
2.374,5.020209422762327e-08
2.375,5.024515626690854e-08
2.376,5.026949774511542e-08
2.377,5.027542570347416e-08
2.378,5.02612946967907e-08
2.379,5.022769307736057e-08
2.38,5.017357146047247e-08
2.381,5.009885976269716e-08
2.382,5.000305106769419e-08
2.383,4.98855721719383e-08
2.384,4.974604868112348e-08
2.385,4.958419102268501e-08
2.386,4.939937167766389e-08
2.387,4.919111951512286e-08
2.388,4.895925319903421e-08
2.389,4.870284731498767e-08
2.39,4.842226272319623e-08
2.391,4.811575873176157e-08
2.392,4.778429553599323e-08
2.393,4.74265164468714e-08
2.394,4.704204583871539e-08
2.395,4.663043633795275e-08
2.396,4.619180133801572e-08
2.397,4.572462452090652e-08
2.398,4.522898011339394e-08
2.399,4.470473202151999e-08
2.4,4.415067796696043e-08
2.401,4.356669274803959e-08
2.402,4.295253822084119e-08
2.403,4.230727989306506e-08
2.404,4.163027826042332e-08
2.405,4.092171720570974e-08
2.406,4.018030054191693e-08
2.407,3.940617600123667e-08
2.408,3.859859884985368e-08
2.409,3.775684835629203e-08
2.41,3.688045578900058e-08
2.411,3.596914768795529e-08
2.412,3.502221064203897e-08
2.413,3.403897267690783e-08
2.414,3.301927020638174e-08
2.415,3.196197574126932e-08
2.416,3.086742070589282e-08
2.417,2.973418546457446e-08
2.418,2.856225216082017e-08
2.419,2.735075207693579e-08
2.42,2.609942526436069e-08
